scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM,type,micro.macro
1,1,100000,53699,5749,2273,12.75,31.5,-0.4237,-0.0288,-0.0187,autosome,macro
1,100001,200000,152065,6926,2697,74.5,113.75,-0.2085,-0.0455,-0.0283,autosome,macro
1,200001,300000,251080,8559,2969,73.5,123.25,-0.2529,-0.0574,-0.0386,autosome,macro
1,300001,400000,347295,8763,3080,84.375,128.875,-0.2087,-0.0483,-0.0321,autosome,macro
1,400001,500000,442260,7454,2531,84.625,110.625,-0.1332,-0.034,-0.0226,autosome,macro
1,500001,600000,556822,6097,2091,60.375,99.375,-0.2441,-0.0597,-0.0404,autosome,macro
1,600001,700000,649215,9313,3080,91.875,193.375,-0.3558,-0.1034,-0.0666,autosome,macro
1,700001,800000,748208,7762,2688,70.125,153.375,-0.3725,-0.1032,-0.0676,autosome,macro
1,800001,900000,845417,4482,1522,43.875,72.125,-0.2435,-0.0729,-0.049,autosome,macro
1,900001,1000000,953379,2863,875,30.5,54,-0.2781,-0.1289,-0.0776,autosome,macro
1,1000001,1100000,1057600,5131,1760,53.125,101.625,-0.3134,-0.1061,-0.068,autosome,macro
1,1100001,1200000,1151717,7925,2892,96.625,173.375,-0.2843,-0.089,-0.0578,autosome,macro
1,1200001,1300000,1248502,8178,2933,74.25,178,-0.4113,-0.1247,-0.0798,autosome,macro
1,1300001,1400000,1353384,8066,2928,121,175.75,-0.1845,-0.0614,-0.0409,autosome,macro
1,1400001,1500000,1450659,8557,3156,108.25,190.25,-0.2747,-0.0872,-0.0564,autosome,macro
1,1500001,1600000,1550506,7360,2644,88.5,148,-0.2516,-0.0718,-0.049,autosome,macro
1,1600001,1700000,1650147,7222,2685,99.125,166.375,-0.2533,-0.0799,-0.0534,autosome,macro
1,1700001,1800000,1751200,7725,2788,83.375,153.125,-0.2949,-0.0813,-0.054,autosome,macro
1,1800001,1900000,1851199,10314,3857,128.5,246.5,-0.3147,-0.0996,-0.0662,autosome,macro
1,1900001,2000000,1949050,10473,3888,125.625,220.375,-0.2738,-0.0805,-0.0542,autosome,macro
1,2000001,2100000,2047360,8919,3267,109.375,181.125,-0.247,-0.069,-0.0465,autosome,macro
1,2100001,2200000,2150058,8382,3175,92.375,143.625,-0.2172,-0.0495,-0.0337,autosome,macro
1,2200001,2300000,2250814,7812,2999,110.125,178.875,-0.2379,-0.074,-0.0502,autosome,macro
1,2300001,2400000,2349397,7728,3146,103,149.25,-0.1833,-0.0458,-0.0324,autosome,macro
1,2400001,2500000,2450061,7725,2949,95.25,89.5,0.0311,0.006,0.0043,autosome,macro
1,2500001,2600000,2550709,7885,3095,120.25,102.25,0.0809,0.0197,0.0129,autosome,macro
1,2600001,2700000,2650394,8257,3181,120.25,150.5,-0.1117,-0.0293,-0.0194,autosome,macro
1,2700001,2800000,2752418,7298,2682,63.625,91.875,-0.1817,-0.0346,-0.024,autosome,macro
1,2800001,2900000,2849161,7797,2909,96.25,111.25,-0.0723,-0.0171,-0.0115,autosome,macro
1,2900001,3000000,2949385,7499,3050,124,130.25,-0.0246,-0.0065,-0.0044,autosome,macro
1,3000001,3100000,3048960,7398,3033,100.75,160,-0.2272,-0.0654,-0.0437,autosome,macro
1,3100001,3200000,3149967,6134,2427,80.75,97.75,-0.0952,-0.0233,-0.0164,autosome,macro
1,3200001,3300000,3249404,7455,3014,65.75,136.75,-0.3506,-0.0796,-0.0533,autosome,macro
1,3300001,3400000,3348363,8245,3336,106.375,183.375,-0.2657,-0.0769,-0.052,autosome,macro
1,3400001,3500000,3451864,6789,2695,95.5,141.25,-0.1932,-0.0582,-0.039,autosome,macro
1,3500001,3600000,3548942,7022,2767,90.125,151.875,-0.2552,-0.0736,-0.0483,autosome,macro
1,3600001,3700000,3649494,7440,2940,97.75,171,-0.2726,-0.0884,-0.0588,autosome,macro
1,3700001,3800000,3752866,8402,3514,114.875,198.375,-0.2666,-0.076,-0.0533,autosome,macro
1,3800001,3900000,3846936,7764,3192,121.875,157.375,-0.1271,-0.0391,-0.0266,autosome,macro
1,3900001,4000000,3948221,7467,2874,79.125,155.375,-0.3252,-0.0992,-0.0654,autosome,macro
1,4000001,4100000,4050462,7476,3024,101.625,106.375,-0.0228,-0.0054,-0.0038,autosome,macro
1,4100001,4200000,4147679,6175,2318,80.125,90.375,-0.0601,-0.015,-0.0105,autosome,macro
1,4200001,4300000,4251431,6759,2463,60.75,70.75,-0.076,-0.0129,-0.0094,autosome,macro
1,4300001,4400000,4350030,6744,2465,56.25,65.75,-0.0779,-0.0136,-0.0095,autosome,macro
1,4400001,4500000,4448093,7204,2691,58,68.5,-0.083,-0.0139,-0.0097,autosome,macro
1,4500001,4600000,4550614,6910,2664,37.875,56.125,-0.1941,-0.0251,-0.0184,autosome,macro
1,4600001,4700000,4649344,6709,2456,30.25,70.5,-0.3995,-0.0661,-0.0453,autosome,macro
1,4700001,4800000,4747168,6177,2355,55.75,40.25,0.1615,0.0263,0.0192,autosome,macro
1,4800001,4900000,4849637,6797,2556,37,51.25,-0.1615,-0.0214,-0.0151,autosome,macro
1,4900001,5000000,4950390,7151,2630,50.5,44,0.0688,0.009,0.0066,autosome,macro
1,5000001,5100000,5050034,7531,2978,65,70.5,-0.0406,-0.0062,-0.0046,autosome,macro
1,5100001,5200000,5149874,7418,2845,57.25,85.75,-0.1993,-0.0371,-0.0256,autosome,macro
1,5200001,5300000,5249662,7517,2957,49.25,117.5,-0.4093,-0.0816,-0.0563,autosome,macro
1,5300001,5400000,5350014,7171,2692,74,101,-0.1543,-0.0322,-0.0223,autosome,macro
1,5400001,5500000,5448180,7061,2618,80.75,121,-0.1995,-0.0484,-0.0338,autosome,macro
1,5500001,5600000,5551065,6633,2448,64.25,118.5,-0.2969,-0.0744,-0.0515,autosome,macro
1,5600001,5700000,5649644,7676,3057,70.125,170.375,-0.4168,-0.1113,-0.0737,autosome,macro
1,5700001,5800000,5752087,6418,2452,66.25,83,-0.1122,-0.0256,-0.017,autosome,macro
1,5800001,5900000,5851205,7446,3010,85,121.25,-0.1758,-0.0414,-0.0287,autosome,macro
1,5900001,6000000,5952380,8276,3058,95.125,179.875,-0.3082,-0.0968,-0.0607,autosome,macro
1,6000001,6100000,6051756,7880,2893,78.375,162.875,-0.3503,-0.1032,-0.0681,autosome,macro
1,6100001,6200000,6150052,7469,2771,76.375,172.375,-0.3859,-0.1206,-0.078,autosome,macro
1,6200001,6300000,6249224,6760,2598,76.125,146.625,-0.3165,-0.0917,-0.0618,autosome,macro
1,6300001,6400000,6349446,7429,2830,63.5,91.25,-0.1793,-0.034,-0.0238,autosome,macro
1,6400001,6500000,6453189,7212,2726,78.25,111.25,-0.1741,-0.0449,-0.0304,autosome,macro
1,6500001,6600000,6550065,7712,2792,79.125,145.625,-0.2959,-0.0851,-0.0568,autosome,macro
1,6600001,6700000,6648863,7124,2602,87.375,106.625,-0.0992,-0.0246,-0.0172,autosome,macro
1,6700001,6800000,6752827,7244,2754,74,130.5,-0.2763,-0.0811,-0.053,autosome,macro
1,6800001,6900000,6851453,8035,2979,99.875,102.375,-0.0124,-0.0029,-0.0019,autosome,macro
1,6900001,7000000,6949272,6718,2580,56.25,103.5,-0.2958,-0.0668,-0.0445,autosome,macro
1,7000001,7100000,7048202,7064,2713,76.625,104.375,-0.1533,-0.0374,-0.0257,autosome,macro
1,7100001,7200000,7152263,6614,2757,56,69.25,-0.1058,-0.0185,-0.0126,autosome,macro
1,7200001,7300000,7250054,5955,2330,43.375,47.125,-0.0414,-0.0061,-0.0043,autosome,macro
1,7300001,7400000,7351349,6356,2377,26.25,49.5,-0.3069,-0.0372,-0.0257,autosome,macro
1,7400001,7500000,7449850,6255,2357,38.25,89.75,-0.4023,-0.0668,-0.047,autosome,macro
1,7500001,7600000,7553613,5713,2098,10.5,34.5,-0.5333,-0.0443,-0.0321,autosome,macro
1,7600001,7700000,7649306,5691,2121,34.5,44.5,-0.1266,-0.0161,-0.0114,autosome,macro
1,7700001,7800000,7750922,6720,2534,43.375,71.625,-0.2457,-0.0378,-0.0257,autosome,macro
1,7800001,7900000,7851364,6122,2336,27.75,77.25,-0.4714,-0.0782,-0.0543,autosome,macro
1,7900001,8000000,7948037,6337,2310,24,60.25,-0.4303,-0.0631,-0.0451,autosome,macro
1,8000001,8100000,8052999,6328,2216,32.125,47.125,-0.1893,-0.024,-0.0168,autosome,macro
1,8100001,8200000,8150165,6647,2583,58.25,76.75,-0.137,-0.0272,-0.0194,autosome,macro
1,8200001,8300000,8248619,6355,2429,46,85,-0.2977,-0.0604,-0.0422,autosome,macro
1,8300001,8400000,8349499,6484,2532,54.5,94,-0.266,-0.0539,-0.0395,autosome,macro
1,8400001,8500000,8450589,6882,2602,55.25,76,-0.1581,-0.0276,-0.0197,autosome,macro
1,8500001,8600000,8548748,7311,2699,54.375,101.875,-0.304,-0.0626,-0.0422,autosome,macro
1,8600001,8700000,8651184,7089,2703,51.375,76.875,-0.1988,-0.0374,-0.0262,autosome,macro
1,8700001,8800000,8750107,7441,2879,65.75,110.5,-0.2539,-0.056,-0.0391,autosome,macro
1,8800001,8900000,8850545,6610,2652,65.5,93,-0.1735,-0.037,-0.0258,autosome,macro
1,8900001,9000000,8950704,6398,2501,51,61.75,-0.0953,-0.0162,-0.0117,autosome,macro
1,9000001,9100000,9048663,6708,2689,45.75,97.75,-0.3624,-0.0689,-0.048,autosome,macro
1,9100001,9200000,9147520,6472,2515,58.125,65.875,-0.0625,-0.0112,-0.0079,autosome,macro
1,9200001,9300000,9252816,6389,2433,42.625,104.375,-0.4201,-0.0976,-0.064,autosome,macro
1,9300001,9400000,9349083,7263,3071,83.25,109.25,-0.1351,-0.0313,-0.0214,autosome,macro
1,9400001,9500000,9448776,6703,2699,52,75.5,-0.1843,-0.0358,-0.0238,autosome,macro
1,9500001,9600000,9547306,7107,2888,37.5,83.5,-0.3802,-0.0628,-0.0434,autosome,macro
1,9600001,9700000,9649136,6441,2440,43.375,95.625,-0.3759,-0.0799,-0.0549,autosome,macro
1,9700001,9800000,9751165,6663,2507,48.5,65.75,-0.151,-0.0245,-0.0173,autosome,macro
1,9800001,9900000,9849659,6216,2404,46.5,83.25,-0.2832,-0.0532,-0.0365,autosome,macro
1,9900001,10000000,9948180,6851,2617,29.5,88.25,-0.4989,-0.0818,-0.0593,autosome,macro
1,10000001,10100000,10048591,6107,2362,38.5,54.25,-0.1698,-0.0252,-0.0181,autosome,macro
1,10100001,10200000,10148149,5788,2361,43.5,87,-0.3333,-0.0755,-0.0505,autosome,macro
1,10200001,10300000,10250870,5349,2140,33.625,108.625,-0.5272,-0.1267,-0.0865,autosome,macro
1,10300001,10400000,10345246,5460,2406,43.375,67.625,-0.2185,-0.0362,-0.0253,autosome,macro
1,10400001,10500000,10451907,5904,2513,46.75,67,-0.178,-0.0317,-0.0217,autosome,macro
1,10500001,10600000,10548795,6030,2508,68.875,61.125,0.0596,0.0111,0.0076,autosome,macro
1,10600001,10700000,10653366,5705,2443,53.5,66.5,-0.1083,-0.0201,-0.0139,autosome,macro
1,10700001,10800000,10752265,6861,2884,58.25,63.75,-0.0451,-0.0074,-0.0052,autosome,macro
1,10800001,10900000,10850615,7054,2780,59,58.75,0.0021,0.0003,0.0002,autosome,macro
1,10900001,11000000,10951254,6817,2872,42,75.5,-0.2851,-0.0457,-0.0318,autosome,macro
1,11000001,11100000,11049358,6488,2785,47.75,116.5,-0.4186,-0.0934,-0.0624,autosome,macro
1,11100001,11200000,11151960,6684,2622,45.375,83.125,-0.2938,-0.0528,-0.0372,autosome,macro
1,11200001,11300000,11247448,6335,2642,54.875,74.125,-0.1492,-0.0269,-0.0185,autosome,macro
1,11300001,11400000,11350378,7243,2889,68.75,89,-0.1284,-0.0254,-0.0176,autosome,macro
1,11400001,11500000,11454238,6684,2730,45,58.25,-0.1283,-0.0188,-0.0131,autosome,macro
1,11500001,11600000,11551669,6159,2632,52.875,32.625,0.2368,0.0323,0.0226,autosome,macro
1,11600001,11700000,11650229,6675,2532,60.375,95.875,-0.2272,-0.0477,-0.0306,autosome,macro
1,11700001,11800000,11747406,6602,2608,69.5,85.75,-0.1047,-0.0215,-0.0147,autosome,macro
1,11800001,11900000,11852344,5989,2296,92.625,62.125,0.1971,0.042,0.0302,autosome,macro
