"","aln","pars.site","tot.sites","pars.site.prop","rf.distance"
"1","uce-1003.nexus",111,726,0.152892561983471,90
"2","uce-1005.nexus",89,728,0.122252747252747,86
"3","uce-1008.nexus",71,722,0.0983379501385042,86
"4","uce-101.nexus",112,792,0.141414141414141,76
"5","uce-1010.nexus",113,727,0.155433287482806,60
"6","uce-1012.nexus",39,720,0.0541666666666667,128
"7","uce-1018.nexus",178,751,0.237017310252996,50
"8","uce-102.nexus",228,788,0.289340101522843,68
"9","uce-1021.nexus",199,786,0.253180661577608,64
"10","uce-1025.nexus",345,875,0.394285714285714,24
"11","uce-1029.nexus",26,724,0.0359116022099447,118
"12","uce-1034.nexus",223,813,0.274292742927429,66
"13","uce-1035.nexus",200,752,0.265957446808511,58
"14","uce-1037.nexus",69,737,0.0936227951153324,102
"15","uce-1038.nexus",101,883,0.114382785956965,84
"16","uce-1041.nexus",181,797,0.227101631116688,68
"17","uce-1043.nexus",50,782,0.0639386189258312,92
"18","uce-1044.nexus",183,799,0.229036295369212,42
"19","uce-1047.nexus",141,776,0.181701030927835,94
"20","uce-1048.nexus",159,802,0.198254364089776,60
"21","uce-1050.nexus",129,727,0.177441540577717,68
"22","uce-1051.nexus",95,721,0.131761442441054,80
"23","uce-1052.nexus",43,782,0.0549872122762148,110
"24","uce-1053.nexus",257,916,0.28056768558952,36
"25","uce-1054.nexus",197,754,0.261273209549072,58
"26","uce-1055.nexus",305,790,0.386075949367089,38
"27","uce-1058.nexus",178,819,0.217338217338217,74
"28","uce-1060.nexus",215,791,0.27180783817952,58
"29","uce-1061.nexus",105,721,0.145631067961165,74
"30","uce-1062.nexus",248,858,0.289044289044289,54
"31","uce-1069.nexus",142,757,0.187582562747688,66
"32","uce-1070.nexus",184,766,0.240208877284595,76
"33","uce-1077.nexus",224,749,0.299065420560748,60
"34","uce-1081.nexus",200,744,0.268817204301075,52
"35","uce-1084.nexus",118,730,0.161643835616438,86
"36","uce-1085.nexus",169,764,0.221204188481675,78
"37","uce-1090.nexus",359,1008,0.356150793650794,50
"38","uce-1092.nexus",138,778,0.177377892030848,56
"39","uce-1094.nexus",89,847,0.105076741440378,72
"40","uce-1098.nexus",157,738,0.212737127371274,42
"41","uce-110.nexus",108,767,0.140808344198175,90
"42","uce-1100.nexus",273,774,0.352713178294574,46
"43","uce-1101.nexus",290,816,0.355392156862745,44
"44","uce-1107.nexus",111,741,0.149797570850202,76
"45","uce-111.nexus",169,754,0.224137931034483,50
"46","uce-1110.nexus",75,844,0.0888625592417062,88
"47","uce-1113.nexus",210,739,0.284167794316644,36
"48","uce-1119.nexus",194,747,0.259705488621151,62
"49","uce-1121.nexus",178,802,0.221945137157107,82
"50","uce-1122.nexus",114,749,0.152202937249666,68
"51","uce-1123.nexus",89,750,0.118666666666667,88
"52","uce-1127.nexus",100,728,0.137362637362637,100
"53","uce-1131.nexus",97,915,0.106010928961749,62
"54","uce-1133.nexus",131,729,0.179698216735254,58
"55","uce-1135.nexus",283,748,0.378342245989305,40
"56","uce-1138.nexus",113,724,0.156077348066298,60
"57","uce-114.nexus",84,739,0.113667117726658,78
"58","uce-1141.nexus",137,737,0.185888738127544,58
"59","uce-1143.nexus",279,813,0.343173431734317,60
"60","uce-1148.nexus",165,749,0.220293724966622,64
"61","uce-115.nexus",269,883,0.304643261608154,50
"62","uce-1150.nexus",198,774,0.255813953488372,58
"63","uce-1154.nexus",228,830,0.274698795180723,66
"64","uce-1158.nexus",152,819,0.185592185592186,74
"65","uce-1159.nexus",229,767,0.298565840938722,58
"66","uce-1161.nexus",166,737,0.225237449118046,62
"67","uce-1163.nexus",203,821,0.247259439707674,44
"68","uce-1168.nexus",72,724,0.0994475138121547,92
"69","uce-1169.nexus",239,792,0.301767676767677,54
"70","uce-117.nexus",88,739,0.119079837618403,82
"71","uce-1172.nexus",165,789,0.209125475285171,44
"72","uce-1177.nexus",182,740,0.245945945945946,32
"73","uce-1182.nexus",97,738,0.131436314363144,88
"74","uce-1183.nexus",301,872,0.345183486238532,38
"75","uce-1188.nexus",49,728,0.0673076923076923,108
"76","uce-119.nexus",294,761,0.386333771353482,46
"77","uce-1190.nexus",70,741,0.0944669365721997,78
"78","uce-1192.nexus",221,783,0.282247765006386,60
"79","uce-1193.nexus",144,732,0.19672131147541,62
"80","uce-1194.nexus",100,741,0.134952766531714,58
"81","uce-12.nexus",194,757,0.256274768824306,36
"82","uce-120.nexus",11,720,0.0152777777777778,130
"83","uce-1200.nexus",201,730,0.275342465753425,42
"84","uce-1201.nexus",218,777,0.280566280566281,52
"85","uce-1202.nexus",225,863,0.26071842410197,56
"86","uce-1205.nexus",228,807,0.282527881040892,46
"87","uce-1207.nexus",176,758,0.232189973614776,68
"88","uce-1209.nexus",85,730,0.116438356164384,84
"89","uce-121.nexus",89,737,0.120759837177748,72
"90","uce-1210.nexus",131,856,0.15303738317757,58
"91","uce-1211.nexus",246,788,0.312182741116751,46
"92","uce-1217.nexus",118,734,0.160762942779292,72
"93","uce-1222.nexus",330,894,0.369127516778524,42
"94","uce-1224.nexus",180,751,0.239680426098535,56
"95","uce-1225.nexus",228,852,0.267605633802817,66
"96","uce-1231.nexus",181,766,0.236292428198433,58
"97","uce-1232.nexus",131,752,0.174202127659574,54
"98","uce-1236.nexus",208,776,0.268041237113402,90
"99","uce-1239.nexus",145,736,0.197010869565217,72
"100","uce-124.nexus",119,800,0.14875,88
"101","uce-1241.nexus",146,749,0.194926568758344,70
"102","uce-1242.nexus",56,721,0.0776699029126214,104
"103","uce-1243.nexus",96,743,0.129205921938089,80
"104","uce-1245.nexus",212,842,0.251781472684086,62
"105","uce-1246.nexus",58,722,0.0803324099722992,100
"106","uce-1250.nexus",152,1323,0.114890400604686,64
"107","uce-1252.nexus",176,728,0.241758241758242,66
"108","uce-1256.nexus",234,841,0.278240190249703,56
"109","uce-1257.nexus",309,882,0.350340136054422,54
"110","uce-1259.nexus",90,730,0.123287671232877,90
"111","uce-1260.nexus",80,720,0.111111111111111,68
"112","uce-1263.nexus",217,756,0.287037037037037,50
"113","uce-1264.nexus",145,723,0.200553250345781,44
"114","uce-1265.nexus",151,746,0.202412868632708,78
"115","uce-1267.nexus",81,726,0.111570247933884,82
"116","uce-127.nexus",106,735,0.14421768707483,84
"117","uce-1271.nexus",322,892,0.360986547085202,60
"118","uce-1276.nexus",146,732,0.199453551912568,74
"119","uce-1277.nexus",156,727,0.214580467675378,48
"120","uce-1278.nexus",136,908,0.149779735682819,76
"121","uce-1281.nexus",175,750,0.233333333333333,50
"122","uce-1285.nexus",280,826,0.338983050847458,40
"123","uce-1288.nexus",174,804,0.216417910447761,60
"124","uce-129.nexus",273,868,0.314516129032258,48
"125","uce-1290.nexus",43,723,0.0594744121715076,122
"126","uce-1291.nexus",117,724,0.161602209944751,68
"127","uce-1295.nexus",118,741,0.159244264507422,84
"128","uce-1297.nexus",230,833,0.276110444177671,40
"129","uce-1298.nexus",165,913,0.180722891566265,76
"130","uce-1300.nexus",238,770,0.309090909090909,54
"131","uce-1301.nexus",76,720,0.105555555555556,72
"132","uce-1304.nexus",99,757,0.130779392338177,80
"133","uce-1305.nexus",280,772,0.362694300518135,48
"134","uce-1306.nexus",132,826,0.159806295399516,90
"135","uce-1307.nexus",111,742,0.149595687331536,84
"136","uce-1309.nexus",51,720,0.0708333333333333,90
"137","uce-131.nexus",113,762,0.148293963254593,64
"138","uce-1311.nexus",147,808,0.181930693069307,62
"139","uce-1313.nexus",107,837,0.127837514934289,100
"140","uce-1314.nexus",134,746,0.179624664879357,74
"141","uce-1318.nexus",230,762,0.301837270341207,44
"142","uce-132.nexus",343,809,0.42398022249691,48
"143","uce-1322.nexus",139,857,0.162193698949825,56
"144","uce-1323.nexus",140,781,0.179257362355954,68
"145","uce-1324.nexus",162,818,0.198044009779951,120
"146","uce-1326.nexus",233,798,0.291979949874687,70
"147","uce-1333.nexus",110,790,0.139240506329114,84
"148","uce-1336.nexus",282,846,0.333333333333333,48
"149","uce-134.nexus",142,819,0.173382173382173,66
"150","uce-1342.nexus",110,785,0.140127388535032,64
