"","loc","Tre","seq.len","var.sites","var.frac","lambda","log10lambda","LR","RF","p","df"
"1","uce-1003.nexus","uce-1003.treefile","1791","639","0.35678391959799","100","2","47364.9176739129","24","0","58"
"2","uce-1005.nexus","uce-1005.treefile","1978","662","0.334681496461072","100","2","49871.3775948791","18","0","58"
"3","uce-1008.nexus","uce-1008.treefile","2026","464","0.229022704837117","1","0","74682.8072249735","24","0","58"
"4","uce-101.nexus","uce-101.treefile","2139","663","0.309957924263675","100","2","58813.4936742421","22","0","58"
"5","uce-1010.nexus","uce-1010.treefile","1707","697","0.408318687756298","100","2","45331.0983313041","22","0","58"
"6","uce-1012.nexus","uce-1012.treefile","2047","414","0.202247191011236","0.001","-3","62240.2772754051","18","0","58"
"7","uce-1018.nexus","uce-1018.treefile","1317","280","0.212604403948367",NA,NA,NA,"32",NA,"58"
"8","uce-102.nexus","uce-102.treefile","1694","797","0.470484061393152","0.001","-3","53581.8337676711","34","0","58"
"9","uce-1021.nexus","uce-1021.treefile","2045","797","0.389731051344743","100","2","56453.5147189553","26","0","58"
"10","uce-1025.nexus","uce-1025.treefile","1497","677","0.452237808951236","100","2","36164.5048012745","16","0","58"
"11","uce-1029.nexus","uce-1029.treefile","1701","262","0.154027042915932","100","2","47360.7233282266","40","0","58"
"12","uce-1034.nexus","uce-1034.treefile","1979","753","0.380495199595755","1","0","64929.7613526837","30","0","58"
"13","uce-1037.nexus","uce-1037.treefile","1541","338","0.219338092147956","1","0","54173.5627929383","38","0","58"
"14","uce-1038.nexus","uce-1038.treefile","1872","538","0.287393162393162","100","2","44481.4555046572","34","0","58"
"15","uce-1041.nexus","uce-1041.treefile","1981","837","0.422513881877839","100","2","51831.185905325","26","0","58"
"16","uce-1043.nexus","uce-1043.treefile","2069","712","0.344127597873369","100","2","54972.8371936471","18","0","58"
"17","uce-1044.nexus","uce-1044.treefile","1892","764","0.403805496828753","100","2","44309.0477721058","14","0","58"
"18","uce-1047.nexus","uce-1047.treefile","1942","759","0.390834191555098","100","2","46868.0617499307","24","0","58"
"19","uce-1048.nexus","uce-1048.treefile","2082","588","0.282420749279539","100","2","59451.2542584334","18","0","58"
"20","uce-1050.nexus","uce-1050.treefile","1766","610","0.345413363533409","1","0","46220.1873603951","32","0","58"
"21","uce-1051.nexus","uce-1051.treefile","2020","824","0.407920792079208","1","0","54123.507646855","22","0","58"
"22","uce-1052.nexus","uce-1052.treefile","2017","258","0.127912741695588","100","2","63560.2987558652","46","0","58"
"23","uce-1053.nexus","uce-1053.treefile","1881","950","0.505050505050505","100","2","32109.8410246828","16","0","58"
"24","uce-1054.nexus","uce-1054.treefile","1778","396","0.222722159730034","0.001","-3","49970.1050591135","16","0","58"
"25","uce-1055.nexus","uce-1055.treefile","1647","864","0.524590163934426","100","2","40234.7327607118","18","0","58"
"26","uce-1058.nexus","uce-1058.treefile","1875","833","0.444266666666667","0.001","-3","59328.4243908483","10","0","58"
"27","uce-1060.nexus","uce-1060.treefile","1686","686","0.406880189798339",NA,NA,NA,"18",NA,"58"
"28","uce-1061.nexus","uce-1061.treefile","1424","492","0.345505617977528","100","2","37935.2007376715","22","0","58"
"29","uce-1062.nexus","uce-1062.treefile","1537","622","0.404684450227716","100","2","30925.1487740232","18","0","58"
"30","uce-1069.nexus","uce-1069.treefile","1719","549","0.319371727748691","100","2","41066.2134947148","36","0","58"
"31","uce-1070.nexus","uce-1070.treefile","1712","832","0.485981308411215","1","0","41933.7994794699","28","0","58"
"32","uce-1077.nexus","uce-1077.treefile","1946","808","0.415210688591984","100","2","45935.3872355809","16","0","58"
"33","uce-1081.nexus","uce-1081.treefile","1600","611","0.381875","100","2","30075.3872363759","24","0","58"
"34","uce-1084.nexus","uce-1084.treefile","1995","645","0.323308270676692","100","2","46356.3041190942","12","0","58"
"35","uce-1085.nexus","uce-1085.treefile","1865","629","0.337265415549598","100","2","46529.8197392434","20","0","58"
"36","uce-1090.nexus","uce-1090.treefile","1807","803","0.444382955174322","100","2","39179.400823735","18","0","58"
"37","uce-1092.nexus","uce-1092.treefile","1996","343","0.17184368737475","1","0","83944.3155427337","20","0","58"
"38","uce-1094.nexus","uce-1094.treefile","2096","638","0.304389312977099","0.001","-3","66222.8169209833","24","0","58"
"39","uce-1100.nexus","uce-1100.treefile","2000","683","0.3415","100","2","48791.0524490809","20","0","58"
"40","uce-1101.nexus","uce-1101.treefile","1477","746","0.505077860528097","100","2","34111.748908548","26","0","58"
"41","uce-111.nexus","uce-111.treefile","1156","468","0.404844290657439","0.001","-3","33936.764416254","28","0","58"
"42","uce-1110.nexus","uce-1110.treefile","1932","594","0.307453416149068","1","0","58858.8691957793","32","0","58"
"43","uce-1113.nexus","uce-1113.treefile","1838","663","0.360718171926007","100","2","46002.4255963262","32","0","58"
"44","uce-1119.nexus","uce-1119.treefile","1636","783","0.478606356968215","100","2","41003.9950266404","12","0","58"
"45","uce-1120.nexus","uce-1120.treefile","1779","762","0.428330522765599","100","2","45773.5252935684","22","0","58"
"46","uce-1121.nexus","uce-1121.treefile","949","232","0.244467860906217","100","2","28067.1508383184","52","0","58"
"47","uce-1123.nexus","uce-1123.treefile","2047","299","0.146067415730337",NA,NA,NA,"50",NA,"58"
"48","uce-1127.nexus","uce-1127.treefile","1962","689","0.351172273190622","1","0","63090.8396418921","26","0","58"
"49","uce-1131.nexus","uce-1131.treefile","2173","593","0.27289461573861","100","2","57710.2567945678","20","0","58"
"50","uce-1133.nexus","uce-1133.treefile","1930","683","0.353886010362694","100","2","49992.0595995063","16","0","58"
"51","uce-1135.nexus","uce-1135.treefile","1743","800","0.458978772231784","100","2","39057.831590065","18","0","58"
"52","uce-1138.nexus","uce-1138.treefile","1946","488","0.250770811921891","0.001","-3","58854.002049113","34","0","58"
"53","uce-114.nexus","uce-114.treefile","2062","690","0.33462657613967","100","2","54407.7095168195","20","0","58"
"54","uce-1143.nexus","uce-1143.treefile","938","307","0.3272921108742","100","2","28172.2546701102","48","0","58"
"55","uce-1148.nexus","uce-1148.treefile","2020","723","0.357920792079208","0.001","-3","58476.5019893238","16","0","58"
"56","uce-115.nexus","uce-115.treefile","1345","521","0.387360594795539","100","2","31597.5907099273","24","0","58"
"57","uce-1150.nexus","uce-1150.treefile","1901","765","0.402419779063651","0.001","-3","52383.6132362675","22","0","58"
"58","uce-1154.nexus","uce-1154.treefile","1715","618","0.360349854227405","1","0","44352.1576767","12","0","58"
"59","uce-1158.nexus","uce-1158.treefile","1683","547","0.325014854426619","100","2","42339.1252081446","16","0","58"
"60","uce-1159.nexus","uce-1159.treefile","1925","837","0.434805194805195","100","2","48772.2471034347","26","0","58"
"61","uce-1161.nexus","uce-1161.treefile","1828","789","0.431619256017505","0.001","-3","54119.2220411068","14","0","58"
"62","uce-1163.nexus","uce-1163.treefile","2013","811","0.402881271733731","100","2","41608.3730694034","18","0","58"
"63","uce-1168.nexus","uce-1168.treefile","1976","541","0.273785425101215","0.001","-3","64795.505244055","24","0","58"
"64","uce-1169.nexus","uce-1169.treefile","1387","583","0.420331651045422","100","2","36604.3605341961","20","0","58"
"65","uce-117.nexus","uce-117.treefile","1903","512","0.26904887020494","100","2","49283.5141448136","30","0","58"
"66","uce-1172.nexus","uce-1172.treefile","1927","768","0.398546964193046","100","2","43013.8742223276","18","0","58"
"67","uce-1177.nexus","uce-1177.treefile","1856","781","0.420797413793103","100","2","40176.5965621202","18","0","58"
"68","uce-1188.nexus","uce-1188.treefile","2083","415","0.199231877100336","0.001","-3","63050.1973188439","36","0","58"
"69","uce-119.nexus","uce-119.treefile","1853","909","0.490555855369671","100","2","44979.1352780943","24","0","58"
"70","uce-1190.nexus","uce-1190.treefile","1995","438","0.219548872180451","0.001","-3","61851.7771783836","26","0","58"
"71","uce-1192.nexus","uce-1192.treefile","1695","579","0.341592920353982","100","2","46099.814085118","26","0","58"
"72","uce-1193.nexus","uce-1193.treefile","1944","691","0.355452674897119","100","2","42487.6996609929","16","0","58"
"73","uce-1194.nexus","uce-1194.treefile","2030","721","0.355172413793103","100","2","53496.8587718656","14","0","58"
"74","uce-12.nexus","uce-12.treefile","1880","765","0.406914893617021","100","2","48737.4067349826","16","0","58"
"75","uce-120.nexus","uce-120.treefile","2073","300","0.144717800289436","0.001","-3","60384.5721358613","38","0","58"
"76","uce-1200.nexus","uce-1200.treefile","1610","573","0.355900621118012","0.001","-3","51642.3352672946","18","0","58"
"77","uce-1201.nexus","uce-1201.treefile","1807","649","0.359158826784726","100","2","44326.1710164272","26","0","58"
"78","uce-1202.nexus","uce-1202.treefile","1695","673","0.397050147492625","100","2","34258.4916186822","16","0","58"
"79","uce-1205.nexus","uce-1205.treefile","2010","780","0.388059701492537","100","2","52724.7742573858","14","0","58"
"80","uce-1207.nexus","uce-1207.treefile","2014","833","0.413604766633565","100","2","42252.8415389966","28","0","58"
"81","uce-121.nexus","uce-121.treefile","1935","411","0.212403100775194","1","0","60185.6558927983","20","0","58"
"82","uce-1210.nexus","uce-1210.treefile","2020","733","0.362871287128713","0.001","-3","66987.1974786894","24","0","58"
