"","aln","pars.site","tot.sites","pars.site.prop","rf.distance"
"1","10005at8782-aln.nexus","911","2919","0.31209318259678","24"
"2","10020at8782-aln.nexus","1841","3723","0.494493687886113","76"
"3","10032at8782-aln.nexus","1500","3072","0.48828125","28"
"4","10042at8782-aln.nexus","806","3393","0.237547892720307","94"
"5","10097at8782-aln.nexus","906","2991","0.302908726178536","60"
"6","10119at8782-aln.nexus","784","2409","0.325446243254462","28"
"7","10142at8782-aln.nexus","1112","3027","0.367360422860918","36"
"8","10148at8782-aln.nexus","1010","3147","0.320940578328567","52"
"9","10149at8782-aln.nexus","940","3168","0.296717171717172","56"
"10","10167at8782-aln.nexus","837","2691","0.311036789297659","38"
"11","10227at8782-aln.nexus","1016","2823","0.359900814736096","58"
"12","10242at8782-aln.nexus","1126","2781","0.404890327220424","36"
"13","10261at8782-aln.nexus","1341","3864","0.347049689440994","56"
"14","10316at8782-aln.nexus","2272","6627","0.342839897389467","64"
"15","10347at8782-aln.nexus","1173","3780","0.31031746031746","32"
"16","10348at8782-aln.nexus","1924","3576","0.538031319910515","48"
"17","10355at8782-aln.nexus","1142","2943","0.388039415562351","48"
"18","1037at8782-aln.nexus","2655","6381","0.41607898448519","34"
"19","10405at8782-aln.nexus","1358","3009","0.451312728481223","52"
"20","10432at8782-aln.nexus","901","2343","0.384549722577892","24"
"21","10434at8782-aln.nexus","1169","2916","0.400891632373114","44"
"22","10443at8782-aln.nexus","1249","4656","0.268256013745704","34"
"23","10445at8782-aln.nexus","1630","3135","0.51993620414673","78"
"24","10455at8782-aln.nexus","1436","3054","0.470203012442698","30"
"25","10501at8782-aln.nexus","1194","3264","0.365808823529412","72"
"26","10507at8782-aln.nexus","1219","3186","0.382611424984306","40"
"27","10509at8782-aln.nexus","1888","3261","0.578963508126342","74"
"28","10511at8782-aln.nexus","2417","6234","0.387712544112929","30"
"29","10517at8782-aln.nexus","758","3360","0.225595238095238","34"
"30","10547at8782-aln.nexus","685","2451","0.279477764177887","32"
"31","10564at8782-aln.nexus","1133","2883","0.392993409642733","28"
"32","10587at8782-aln.nexus","959","2586","0.370843000773395","36"
"33","10640at8782-aln.nexus","655","2151","0.304509530450953","38"
"34","10650at8782-aln.nexus","942","3759","0.250598563447725","56"
