"","aln","pars.site","tot.sites","pars.site.prop","rf.distance","rf.distance.coll","gc.cont"
"1","uce-1003.nexus","29","320","0.090625","122","122","0.466692353797414"
"2","uce-1005.nexus","6","322","0.0186335403726708","140","140","0.412414383561644"
"3","uce-1008.nexus","29","322","0.0900621118012422","116","116","0.346353830948391"
"4","uce-101.nexus","8","380","0.0210526315789474","140","140","0.417591925018025"
"5","uce-1010.nexus","26","320","0.08125","112","112","0.431752012330879"
"6","uce-1012.nexus","18","320","0.05625","136","136","0.411125896038117"
"7","uce-1018.nexus","20","320","0.0625","112","112","0.353796653796654"
"8","uce-102.nexus","34","326","0.104294478527607","120","120","0.494031946638582"
"9","uce-1021.nexus","101","341","0.296187683284457","84","84","0.461210056492302"
"10","uce-1025.nexus","118","365","0.323287671232877","68","68","0.345949263502455"
"11","uce-1029.nexus","9","321","0.0280373831775701","136","136","0.255540045367301"
"12","uce-1034.nexus","30","321","0.0934579439252336","106","106","0.359942948524009"
"13","uce-1035.nexus","43","320","0.134375","108","108","0.382890621558522"
"14","uce-1037.nexus","23","337","0.0682492581602374","122","122","0.333004630423598"
"15","uce-1038.nexus","23","440","0.0522727272727273","124","124","0.410109332910791"
"16","uce-1041.nexus","22","382","0.0575916230366492","128","128","0.338927808788821"
"17","uce-1043.nexus","15","380","0.0394736842105263","134","134","0.450720063844452"
"18","uce-1044.nexus","24","383","0.0626631853785901","120","120","0.341164158637364"
"19","uce-1047.nexus","69","387","0.178294573643411","110","110","0.401548054181896"
"20","uce-1048.nexus","40","384","0.104166666666667","108","108","0.354333589434017"
"21","uce-1050.nexus","32","329","0.0972644376899696","98","98","0.374908794368857"
"22","uce-1051.nexus","15","321","0.0467289719626168","126","126","0.413769273960178"
"23","uce-1052.nexus","11","380","0.0289473684210526","134","134","0.384820623760591"
"24","uce-1053.nexus","63","444","0.141891891891892","80","80","0.356149364074933"
"25","uce-1054.nexus","28","321","0.0872274143302181","110","110","0.413168759676587"
"26","uce-1055.nexus","87","356","0.24438202247191","66","66","0.389958410153068"
"27","uce-1058.nexus","23","328","0.0701219512195122","130","130","0.360382373113855"
"28","uce-1060.nexus","59","329","0.179331306990881","94","94","0.369574709632347"
"29","uce-1061.nexus","23","320","0.071875","132","132","0.36785102739726"
"30","uce-1062.nexus","29","394","0.0736040609137056","126","126","0.37869800953386"
"31","uce-1069.nexus","10","320","0.03125","136","136","0.361301369863014"
"32","uce-1070.nexus","21","333","0.0630630630630631","136","136","0.367935208569189"
"33","uce-1077.nexus","48","323","0.148606811145511","122","122","0.300429937702904"
"34","uce-1081.nexus","35","320","0.109375","102","102","0.362787510172613"
"35","uce-1084.nexus","21","324","0.0648148148148148","124","124","0.296569152353621"
"36","uce-1085.nexus","23","320","0.071875","120","120","0.446527867580499"
"37","uce-1090.nexus","121","539","0.224489795918367","80","80","0.376461374951054"
"38","uce-1092.nexus","17","320","0.053125","122","122","0.438370249775074"
"39","uce-1094.nexus","21","440","0.0477272727272727","122","122","0.319510730427637"
"40","uce-1098.nexus","35","324","0.108024691358025","100","100","0.389065316281864"
"41","uce-110.nexus","42","320","0.13125","126","126","0.293284068680722"
"42","uce-1100.nexus","113","341","0.331378299120235","80","80","0.435431315383296"
"43","uce-1101.nexus","32","384","0.0833333333333333","114","114","0.432126447344238"
"44","uce-1107.nexus","35","322","0.108695652173913","118","118","0.431715986467389"
"45","uce-111.nexus","28","322","0.0869565217391304","126","126","0.348497700790214"
"46","uce-1110.nexus","22","440","0.05","128","128","0.351619237602469"
"47","uce-1113.nexus","57","328","0.173780487804878","92","92","0.376902455897613"
"48","uce-1119.nexus","57","347","0.164265129682997","106","106","0.44134557624646"
"49","uce-1121.nexus","13","320","0.040625","132","132","0.392142550450837"
"50","uce-1122.nexus","25","320","0.078125","116","116","0.307106164383562"
