,aln,pars.site,tot.sites,pars.site.prop,rf.distance,rf.distance.coll,gc.cont
1,10005at8782-aln.nexus,911,2919,0.312093183,24,21,0.452023854
2,10020at8782-aln.nexus,1841,3723,0.494493688,72,65,0.450729569
3,10032at8782-aln.nexus,1500,3072,0.48828125,28,25,0.533398703
4,10042at8782-aln.nexus,806,3393,0.237547893,96,81,0.441125434
5,10097at8782-aln.nexus,906,2991,0.302908726,52,45,0.495305846
6,10119at8782-aln.nexus,784,2409,0.325446243,24,29,0.393549977
7,10142at8782-aln.nexus,1112,3027,0.367360423,38,32,0.527764192
8,10148at8782-aln.nexus,1010,3147,0.320940578,54,41,0.582757943
9,10149at8782-aln.nexus,940,3168,0.296717172,50,49,0.469610841
10,10167at8782-aln.nexus,837,2691,0.311036789,34,31,0.483071791
11,10227at8782-aln.nexus,1016,2823,0.359900815,52,47,0.474781518
12,10242at8782-aln.nexus,1126,2781,0.404890327,38,34,0.558958917
13,10261at8782-aln.nexus,1341,3864,0.347049689,56,48,0.534434132
14,10316at8782-aln.nexus,2272,6627,0.342839897,64,49,0.467541678
15,10347at8782-aln.nexus,1173,3780,0.31031746,28,23,0.491774308
16,10348at8782-aln.nexus,1924,3576,0.53803132,46,39,0.600512759
17,10355at8782-aln.nexus,1142,2943,0.388039416,42,37,0.513802806
18,1037at8782-aln.nexus,2655,6381,0.416078984,34,31,0.638123025
19,10405at8782-aln.nexus,1358,3009,0.451312728,42,33,0.438905291
20,10432at8782-aln.nexus,901,2343,0.384549723,22,21,0.455157641
21,10434at8782-aln.nexus,1169,2916,0.400891632,40,31,0.522625828
22,10443at8782-aln.nexus,1249,4656,0.268256014,36,33,0.539776065
23,10445at8782-aln.nexus,1630,3135,0.519936204,78,69,0.489205696
24,10455at8782-aln.nexus,1436,3054,0.470203012,32,30,0.441957082
25,10501at8782-aln.nexus,1194,3264,0.365808824,70,57,0.531803672
26,10507at8782-aln.nexus,1219,3186,0.382611425,30,30,0.474077581
27,10509at8782-aln.nexus,1888,3261,0.578963508,78,72,0.610019019
28,10511at8782-aln.nexus,2417,6234,0.387712544,32,23,0.488833664
29,10517at8782-aln.nexus,758,3360,0.225595238,34,29,0.537470238
30,10547at8782-aln.nexus,685,2451,0.279477764,34,30,0.488428884
31,10564at8782-aln.nexus,1133,2883,0.39299341,28,27,0.48101589
32,10587at8782-aln.nexus,959,2586,0.370843001,38,32,0.537119967
33,10640at8782-aln.nexus,655,2151,0.30450953,42,30,0.428681262
34,10650at8782-aln.nexus,942,3759,0.250598563,56,47,0.481154264
35,10665at8782-aln.nexus,722,2619,0.27567774,52,44,0.456248524
36,10709at8782-aln.nexus,1418,3072,0.461588542,26,26,0.566686326
37,10711at8782-aln.nexus,899,2106,0.426875594,38,31,0.49487603
38,10721at8782-aln.nexus,1023,3108,0.329150579,28,27,0.639020625
39,10729at8782-aln.nexus,1850,4593,0.40278685,60,48,0.533225656
40,10732at8782-aln.nexus,452,2130,0.212206573,36,32,0.548592829
41,10767at8782-aln.nexus,1457,3162,0.460784314,54,50,0.500713952
42,10795at8782-aln.nexus,1880,3141,0.598535498,34,32,0.523295543
43,10799at8782-aln.nexus,504,2160,0.233333333,50,39,0.532044965
44,10831at8782-aln.nexus,1500,3348,0.448028674,46,39,0.498055373
45,10862at8782-aln.nexus,930,3183,0.292177191,48,36,0.500497499
46,10875at8782-aln.nexus,940,2352,0.399659864,34,27,0.438611549
47,10893at8782-aln.nexus,1245,3297,0.377616015,56,49,0.439860044
48,10905at8782-aln.nexus,1275,2961,0.430597771,56,51,0.628138053
49,10913at8782-aln.nexus,1092,3588,0.304347826,56,46,0.508723438
50,10919at8782-aln.nexus,2945,8544,0.34468633,24,25,0.582717522
51,10964at8782-aln.nexus,788,2370,0.332489451,26,29,0.527531395
52,10975at8782-aln.nexus,1585,4467,0.354824267,40,33,0.467248884
53,10983at8782-aln.nexus,1066,3705,0.287719298,56,53,0.453574926
54,10985at8782-aln.nexus,1012,3165,0.319747235,40,33,0.464345984
55,11032at8782-aln.nexus,471,2079,0.226551227,28,25,0.505981058
56,11035at8782-aln.nexus,1179,2478,0.475786925,78,74,0.449145164
57,11049at8782-aln.nexus,1059,2433,0.435265105,72,60,0.529068152
58,11067at8782-aln.nexus,1585,4620,0.343073593,84,81,0.486532241
59,11099at8782-aln.nexus,955,3261,0.292854952,64,56,0.498069946
60,11101at8782-aln.nexus,1306,2814,0.464108031,62,58,0.441071784
61,11105at8782-aln.nexus,1143,3039,0.376110563,24,19,0.467584635
62,11109at8782-aln.nexus,1199,2853,0.420259376,40,32,0.464756909
63,11247at8782-aln.nexus,1752,4527,0.387011266,44,41,0.471024915
64,11257at8782-aln.nexus,1578,3801,0.415153907,66,59,0.4525858
65,11269at8782-aln.nexus,842,2124,0.396421846,34,30,0.493774902
66,11277at8782-aln.nexus,1064,2457,0.433048433,28,28,0.543343813
67,11300at8782-aln.nexus,1620,3027,0.53518335,70,55,0.429968701
68,11349at8782-aln.nexus,1099,3096,0.35497416,60,49,0.561787393
69,11370at8782-aln.nexus,942,2901,0.324715615,36,35,0.476986554
70,11376at8782-aln.nexus,1315,3972,0.331067472,54,51,0.441512293
71,11383at8782-aln.nexus,858,3189,0.269049859,50,42,0.475375733
72,11412at8782-aln.nexus,1263,4194,0.301144492,70,65,0.537969348
73,11428at8782-aln.nexus,444,1578,0.281368821,34,31,0.474280142
74,11431at8782-aln.nexus,932,2655,0.351035782,50,48,0.467235625
75,11434at8782-aln.nexus,1139,4131,0.275720165,22,21,0.519890078
76,11454at8782-aln.nexus,616,2181,0.282439248,40,37,0.506656183
77,11461at8782-aln.nexus,1162,3990,0.29122807,72,68,0.597381313
78,1148at8782-aln.nexus,4094,10281,0.398210291,26,27,0.577771175
79,11517at8782-aln.nexus,893,2877,0.31039277,48,41,0.487963915
80,1156at8782-aln.nexus,1576,6774,0.232654266,28,24,0.472419713
81,11584at8782-aln.nexus,1644,2433,0.675709001,36,28,0.433470721
82,11596at8782-aln.nexus,1336,2568,0.520249221,64,57,0.44137161
83,11611at8782-aln.nexus,605,2136,0.2832397,38,31,0.436188822
84,11621at8782-aln.nexus,1327,2466,0.53811841,60,52,0.475721424
85,11654at8782-aln.nexus,736,2715,0.271086556,46,47,0.513011312
86,11668at8782-aln.nexus,1409,5178,0.272112785,34,25,0.430069367
87,1166at8782-aln.nexus,1882,6678,0.281820904,22,21,0.452923741
88,11673at8782-aln.nexus,1465,3354,0.43679189,50,42,0.450533546
89,11684at8782-aln.nexus,484,1938,0.249742002,46,38,0.4904224
90,11714at8782-aln.nexus,779,3042,0.256081525,72,60,0.509711057
91,11724at8782-aln.nexus,767,2256,0.33998227,38,37,0.488190217
92,11744at8782-aln.nexus,1584,3711,0.426839127,54,51,0.532978747
93,11745at8782-aln.nexus,1135,2613,0.434366628,34,33,0.545237033
94,11751at8782-aln.nexus,1229,5112,0.24041471,54,47,0.551656743
95,1177at8782-aln.nexus,4970,9783,0.508024123,56,49,0.539494353
96,11785at8782-aln.nexus,1096,6597,0.166136122,74,64,0.513912098
97,11790at8782-aln.nexus,1268,3804,0.333333333,68,56,0.545066479
98,11798at8782-aln.nexus,655,2523,0.259611574,38,37,0.529385854
99,117at8782-aln.nexus,4894,15615,0.313416587,20,18,0.425074866
100,11821at8782-aln.nexus,1619,3648,0.443804825,58,58,0.558839804
101,11827at8782-aln.nexus,1898,5124,0.370413739,66,60,0.421972718
102,11828at8782-aln.nexus,1927,3630,0.530853994,86,74,0.511514665
103,11845at8782-aln.nexus,2258,4905,0.460346585,70,63,0.516823997
104,11864at8782-aln.nexus,881,2409,0.365711914,32,31,0.464032601
105,11917at8782-aln.nexus,1236,3048,0.405511811,26,25,0.644994589
