"","aln","pars.site","tot.sites","pars.site.prop","rf.distance.coll","gc.cont"
"1","uce-1003.nexus","646","1791","0.360692350642099","36","2.13458185300101e-05"
"2","uce-1005.nexus","663","1978","0.335187057633974","32","5.68663287499812e-05"
"3","uce-1008.nexus","472","2026","0.232971372161895","36","8.44437093210433e-06"
"4","uce-101.nexus","668","2139","0.31229546517064","32","4.35142086225617e-05"
"5","uce-1010.nexus","704","1707","0.412419449326303","32","2.1635169221907e-05"
"6","uce-1012.nexus","417","2047","0.20371275036639","32","1.72416409248602e-05"
"7","uce-1018.nexus","282","1317","0.214123006833713","52","7.55157490011957e-05"
"8","uce-102.nexus","802","1694","0.473435655253837","50","4.3591952652955e-05"
"9","uce-1021.nexus","800","2045","0.39119804400978","36","2.21916613901494e-05"
"10","uce-1025.nexus","682","1497","0.455577822311289","28","7.26419862832186e-05"
"11","uce-1029.nexus","267","1701","0.156966490299824","58","3.00009268932939e-05"
"12","uce-1034.nexus","758","1979","0.383021728145528","48","2.1216113074978e-05"
"13","uce-1035.nexus","607","1744","0.348050458715596","24","2.82318134917429e-05"
"14","uce-1037.nexus","345","1541","0.223880597014925","56","4.72284893926386e-05"
"15","uce-1038.nexus","549","1872","0.293269230769231","52","9.31688796366917e-05"
"16","uce-1041.nexus","840","1981","0.424028268551237","42","2.12723863332274e-05"
"17","uce-1043.nexus","720","2069","0.347994200096665","32","6.46756796571837e-05"
"18","uce-1044.nexus","774","1892","0.409090909090909","22","7.26519092531178e-05"
"19","uce-1047.nexus","766","1942","0.394438722966014","44","5.16009088626169e-05"
"20","uce-1048.nexus","590","2082","0.283381364073007","32","3.45818632042222e-05"
"21","uce-1050.nexus","614","1766","0.347678369195923","48","7.88268477131713e-05"
"22","uce-1051.nexus","837","2020","0.414356435643564","38","4.48450406086601e-05"
"23","uce-1052.nexus","262","2017","0.12989588497769","72","2.21697388691474e-05"
"24","uce-1053.nexus","955","1881","0.507708665603402","38","0.000123746466614129"
"25","uce-1054.nexus","397","1778","0.223284589426322","36","1.20685142318457e-05"
"26","uce-1055.nexus","873","1647","0.530054644808743","40","6.3442626369575e-05"
"27","uce-1058.nexus","848","1875","0.452266666666667","30","1.80209165721872e-05"
"28","uce-1060.nexus","686","1686","0.406880189798339","24","0.000158790558633434"
"29","uce-1061.nexus","496","1424","0.348314606741573","42","2.19405378006731e-05"
"30","uce-1062.nexus","631","1537","0.410540013012362","30","2.78918085112661e-05"
"31","uce-1069.nexus","556","1719","0.323443862710878","60","2.20352782785764e-05"
"32","uce-1070.nexus","841","1712","0.491238317757009","34","0.000112545035142895"
"33","uce-1077.nexus","815","1946","0.418807810894142","28","4.08187804504566e-05"
"34","uce-1081.nexus","562","1600","0.35125","52","0.0003763081796106"
"35","uce-1084.nexus","650","1995","0.325814536340852","34","1.23769484879638e-05"
"36","uce-1085.nexus","628","1865","0.336729222520107","40","5.96143651652693e-05"
"37","uce-1090.nexus","809","1807","0.44770337576093","32","0.000708539383363982"
"38","uce-1092.nexus","350","1996","0.175350701402806","40","1.13626695997749e-05"
"39","uce-1094.nexus","644","2096","0.307251908396947","32","9.25074496585476e-06"
"40","uce-1098.nexus","777","1979","0.392622536634664","32","2.98360799737697e-05"
"41","uce-110.nexus","501","1958","0.255873340143003","48","7.86546069019125e-05"
"42","uce-1100.nexus","699","2000","0.3495","32","0.000117568427478113"
"43","uce-1101.nexus","754","1477","0.510494245091402","50","0.000263598122003871"
"44","uce-111.nexus","472","1156","0.408304498269896","52","8.14485854967778e-05"
"45","uce-1110.nexus","600","1932","0.31055900621118","44","3.95217504130886e-05"
"46","uce-1113.nexus","672","1838","0.365614798694233","40","6.43744626321548e-05"
"47","uce-1119.nexus","795","1636","0.485941320293399","22","0.000115543723466711"
"48","uce-1121.nexus","242","949","0.255005268703899","72","0.000153470061599242"
"49","uce-1123.nexus","304","2047","0.148510014655594","78","1.44762091988184e-05"
"50","uce-1127.nexus","697","1962","0.355249745158002","46","3.17154540337685e-05"
"51","uce-1131.nexus","600","2173","0.276115968706857","34","2.76446703121242e-05"
"52","uce-1133.nexus","694","1930","0.359585492227979","36","3.67033575834875e-05"
"53","uce-1135.nexus","805","1743","0.461847389558233","36","0.000187241561805936"
"54","uce-1138.nexus","490","1946","0.251798561151079","42","1.64040303017567e-05"
"55","uce-114.nexus","694","2062","0.336566440349176","44","1.62270850403576e-05"
